Block_Index,Block_Len,Next_Jump_Size
0,2,513780
1,6,3500
2,8,441
3,7,2643084
4,6,10
5,5,224
6,12,268
7,2,16
8,2,13
9,15,19090
10,4,267
11,5,274
12,18,342
13,3,245
14,9,1436
15,11,4208886
16,12,4208913
17,5,296
18,3,235
19,3,229
20,6,425
21,5,1530
22,24,23
23,4,72
24,4,18
25,2,545
26,4,550
27,3,270
28,12,19428
29,24,15
30,1,10
31,10,11
32,7,24932
33,14,1638308
34,8,790413
35,3,2868
36,8,9
37,34,9
38,7,2695
39,2,790408
40,9,1638274
41,37,2428843
42,4,790640
43,3,790951
44,19,1142880
45,5,1310908
46,6,10
47,7,16
48,2,13
49,5,11
50,7,19090
51,4,267
52,5,274
53,18,342
54,3,245
55,9,1436
56,11,4208886
57,12,4208913
58,5,296
59,3,235
60,3,229
61,6,425
62,5,1530
63,24,23
64,4,72
65,4,18
66,2,545
67,4,550
68,3,270
69,12,19428
70,24,15
71,1,10
72,10,11
73,7,24932
74,14,1638308
75,8,790413
76,3,2868
77,8,9
78,34,9
79,7,2695
80,2,790408
81,9,1638274
82,37,2428843
83,4,790640
84,3,790951
85,19,1142880
86,5,1310908
87,6,10
88,7,16
89,2,13
90,5,11
91,7,19090
92,4,267
93,5,274
94,18,342
95,3,245
96,9,1436
97,11,4208886
98,6,34
99,4,22
100,8,22
101,8,22
102,2,12
103,2,4208913
104,15,132
105,2,302
106,2,9
107,9,644
108,1,145
109,2,9
110,7,1826476
111,11,60
112,6,74
113,11,81
114,2,494364
115,5,494369
116,6,162
117,23,81
118,2,494364
119,5,494369
120,6,162
121,11,60
122,6,74
123,11,81
124,2,494364
125,5,494369
126,6,162
127,23,81
128,2,494364
129,5,494369
130,6,1774190
131,4,1632139
132,8,790413
133,3,2868
134,8,9
135,34,9
136,7,2695
137,2,790408
138,9,1632105
139,2,11760959
140,1,32
141,4,40
142,1,32
143,4,40
144,1,32
145,4,40
146,1,32
147,4,40
148,1,32
149,4,13040856
150,5,10
151,5,400963
152,1,252
153,2,9
154,5,633
155,8,619
156,2,13619953
157,4,1434
158,32,77
159,7,12
160,5,1639
161,4,182150
162,6,3973
163,6,9
164,4,3999
165,3,9
166,4,41
167,5,13662750
168,2,11
169,1,9
170,2,21
171,1,13662705
172,2,13969190
173,8,57062
174,5,57071
175,4,1142472
176,5,3246
177,13,5010329
178,11,5010353
179,3,257
180,4,268
181,5,10
182,10,165
183,2,1076200
184,11,12
185,2,9
186,5,27067
187,19,11790351
188,6,11790364
189,5,11790333
190,6,11790346
191,5,9
192,13,9177
193,12,52
194,3,246
195,4,1672448
196,8,790413
197,3,2868
198,8,9
199,34,9
200,7,2695
201,2,790408
202,9,1672414
203,11,94
204,2,415
205,18,96
206,7,12000
207,9,9
208,4,36
209,5,157
210,4,1684441
211,8,790413
212,3,2868
213,8,9
214,34,9
215,7,2695
216,2,790408
217,9,1684407
218,11,75
219,2,295
220,14,104
221,2,9
222,7,21331
223,19,27267
224,5,1076280
225,3,153
226,5,94
227,6,2996
228,2,1142487
229,3,13969147
230,1,13662603
231,6,11
232,8,262099
233,18,262155
234,4,13662537
235,3,70
236,3,4023
237,8,4037
238,4,182072
239,1,1717
240,2,1099
241,20,13620642
242,1,9
243,4,9
244,13,13477622
245,2,9
246,9,898
247,6,14
248,4,13012939
249,2,81
250,9,9
251,7,76
252,8,128
253,6,2164814
254,9,9
255,2,9
256,8,9
257,9,2164901
258,1,4891977
259,9,9
260,3,9
261,4,115
262,2,9
263,9,4892176
264,1,9
265,5,1340056
266,6,9
267,7,968
268,9,9
269,5,9
270,4,629
271,9,4196250
272,1,10
273,9,4196281
274,16,547
275,11,4206627
276,1,10
277,7,4206648
278,3,9
279,9,821
280,5,10
281,13,1340154
282,1,193
283,3,9
284,3,172
285,6,229
286,2,131
287,5,1197362
288,3,9
289,4,31
290,2,1197311
291,2,83
292,1,1196177
293,8,9
294,9,249
295,10,11
296,2,54
297,4,67
298,5,14961
299,7,51
300,2,15032
301,10,162
302,4,9
303,6,1196067
304,1,86
305,1,9
306,10,12975840
307,1,9705
308,5,9699
309,2,46
310,2,3904
311,4,181768
312,1,1877
313,3,1278
314,1,27
315,17,9
316,8,69
317,4,9
318,1,41
319,3,695
320,4,1434
321,35,19
322,1,24
323,5,193633
324,9,193605
325,1,1579
326,4,182150
327,6,3973
328,4,25
329,1,52
330,1,57
331,3,4012
332,3,9
333,1,13
334,1,13662689
335,2,11
336,1,9
337,2,21
338,1,13662644
339,2,13969129
340,8,57062
341,5,57071
342,4,1142472
343,5,3246
344,13,5010329
345,11,5010353
346,3,257
347,4,268
348,5,10
349,10,165
350,2,1076200
351,11,12
352,2,9
353,5,27067
354,19,11790351
355,6,11790364
356,5,11790333
357,6,11790346
358,5,9
359,13,9177
360,12,52
361,3,246
362,4,1672448
363,8,790413
364,3,2868
365,8,9
366,34,9
367,7,2695
368,2,790408
369,9,1672414
370,11,94
371,2,415
372,18,96
373,7,12000
374,9,9
375,4,36
376,5,157
377,4,1684441
378,8,790413
379,3,2868
380,8,9
381,34,9
382,7,2695
383,2,790408
384,9,1684407
385,11,75
386,2,295
387,14,104
388,2,9
389,7,21331
390,19,27267
391,5,1076280
392,3,153
393,5,94
394,6,2996
395,2,1142487
396,3,13969086
397,1,13662542
398,6,11
399,8,262099
400,18,262155
401,4,13662476
402,3,4023
403,4,13
404,1,56
405,3,12975940
406,3,9
407,10,1197362
408,3,9
409,9,10
410,3,14
411,2,1197311
412,3,9
413,10,12975840
414,1,9705
415,5,9699
416,2,46
417,2,4048
418,4,182072
419,1,1717
420,3,1278
421,1,27
422,17,9
423,8,69
424,4,9
425,1,41
426,3,695
427,4,1434
428,35,19
429,1,24
430,5,193633
431,9,193605
432,1,1579
433,4,182150
434,6,3973
435,4,25
436,1,52
437,1,57
438,3,4012
439,3,9
440,1,13
441,1,13662689
442,2,11
443,1,9
444,2,21
445,1,13662644
446,2,13969129
447,8,57062
448,5,57071
449,4,1142472
450,5,3246
451,13,5010329
452,11,5010353
453,3,257
454,4,268
455,5,10
456,10,165
457,2,1076200
458,11,12
459,2,9
460,5,27067
461,19,11790351
462,6,11790364
463,5,11790333
464,6,11790346
465,5,9
466,13,9177
467,12,52
468,3,246
469,4,1672448
470,8,790413
471,3,2868
472,8,9
473,34,9
474,7,2695
